                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                  0.906,                0.55874,                0.94965,                0.95022,                 0.9368,                0.93455,                0.75455,                0.95456,                 1.0382,                0.86902,              0.0014892,              0.0014892,              0.0014892
                    131,                0.91317,                0.57559,                0.94205,                0.94953,                0.93865,                0.94719,                0.75146,                 0.9079,                 0.8088,                0.85652,              0.0014852,              0.0014852,              0.0014852
                    132,                0.87182,                0.52974,                0.94678,                0.93329,                0.94418,                0.94723,                0.75732,                0.74533,                0.61187,                0.78007,              0.0014812,              0.0014812,              0.0014812
                    133,                0.85782,                0.53857,                0.93886,                0.96763,                0.91711,                0.95436,                 0.7534,                0.80425,                0.62932,                0.78721,              0.0014773,              0.0014773,              0.0014773
                    134,                0.92012,                0.57209,                0.95724,                0.93696,                0.92638,                0.93825,                0.74988,                0.91083,                 1.1021,                0.85312,              0.0014733,              0.0014733,              0.0014733
                    135,                 0.8431,                0.51975,                0.92458,                0.93772,                0.92368,                0.93765,                0.75057,                0.99801,                0.75224,                0.92449,              0.0014694,              0.0014694,              0.0014694
                    136,                0.86775,                0.54569,                0.93557,                0.95264,                0.91411,                0.93811,                0.75868,                0.82224,                  0.729,                0.79527,              0.0014654,              0.0014654,              0.0014654
                    137,                  0.934,                0.55818,                0.95607,                0.93818,                0.93107,                0.95143,                0.75089,                0.89115,                0.81872,                0.81111,              0.0014614,              0.0014614,              0.0014614
                    138,                0.88976,                0.53886,                0.92938,                0.93856,                0.93717,                0.93588,                0.73166,                0.80069,                0.68616,                0.78486,              0.0014575,              0.0014575,              0.0014575
                    139,                0.89191,                0.56874,                0.95819,                0.95753,                0.92025,                0.95552,                 0.7478,                0.82421,                  0.868,                0.80573,              0.0014535,              0.0014535,              0.0014535
                    140,                0.88598,                0.53919,                0.93835,                0.94907,                0.93865,                0.94662,                0.76187,                0.85696,                0.74452,                0.79859,              0.0014496,              0.0014496,              0.0014496
                    141,                0.88738,                0.55276,                0.93616,                0.94019,                0.92638,                0.95508,                0.75698,                0.85728,                0.70627,                0.79374,              0.0014456,              0.0014456,              0.0014456
                    142,                0.88838,                0.55612,                0.93816,                0.95491,                0.93252,                0.95254,                0.76569,                0.78238,                0.65497,                0.80116,              0.0014416,              0.0014416,              0.0014416
                    143,                 0.8877,                0.55597,                0.92368,                 0.9605,                0.93252,                0.94422,                0.75819,                0.74931,                0.70456,                0.78652,              0.0014377,              0.0014377,              0.0014377
                    144,                0.86919,                0.53141,                0.95262,                0.95874,                0.92638,                0.96903,                0.78273,                0.73187,                0.65021,                0.76727,              0.0014337,              0.0014337,              0.0014337
                    145,                 0.8424,                0.56523,                0.92068,                 0.9388,                0.92638,                0.94153,                0.72963,                 0.8425,                0.80304,                0.78693,              0.0014298,              0.0014298,              0.0014298
                    146,                0.88351,                0.53584,                0.94338,                0.94981,                0.92879,                0.95143,                0.75564,                0.81918,                0.92458,                0.81434,              0.0014258,              0.0014258,              0.0014258
                    147,                0.88768,                0.54517,                0.95157,                0.95551,                0.92237,                0.94756,                0.76486,                0.78963,                0.72984,                0.79897,              0.0014218,              0.0014218,              0.0014218
                    148,                0.84821,                0.52682,                0.94027,                0.94752,                0.92025,                0.94613,                0.76952,                0.79481,                0.88524,                0.81238,              0.0014179,              0.0014179,              0.0014179
                    149,                0.90215,                0.54329,                0.95191,                0.95509,                0.91325,                 0.9533,                0.77269,                0.82527,                0.82323,                0.80891,              0.0014139,              0.0014139,              0.0014139
                    150,                0.87884,                0.53738,                0.93875,                0.94923,                0.91773,                0.94264,                0.75723,                0.82279,                0.94425,                0.81334,                0.00141,                0.00141,                0.00141
                    151,                0.83414,                0.54125,                0.92689,                0.96147,                0.91862,                0.94955,                0.74399,                0.81441,                0.69964,                 0.8194,               0.001406,               0.001406,               0.001406
                    152,                0.86632,                0.53094,                0.92458,                0.95472,                0.93252,                 0.9494,                0.75776,                 0.8873,                 1.0691,                0.81367,               0.001402,               0.001402,               0.001402
                    153,                0.90208,                0.55281,                0.94925,                0.97456,                0.90798,                0.96119,                0.75709,                0.80551,                0.77452,                0.79739,              0.0013981,              0.0013981,              0.0013981
                    154,                0.89827,                0.53424,                0.94867,                0.95523,                0.91636,                0.95047,                0.76492,                0.81549,                0.60505,                0.81223,              0.0013941,              0.0013941,              0.0013941
